Sound,Probability,Time,Date,Distance
driller,100.0,05:17:12 : PM,2019-02-04,null
driller,100.0,05:17:18 : PM,2019-02-04,null
driller,100.0,05:17:23 : PM,2019-02-04,null
driller,100.0,05:17:29 : PM,2019-02-04,null
driller,100.0,05:17:34 : PM,2019-02-04,null
driller,100.0,05:17:39 : PM,2019-02-04,null
driller,100.0,05:17:45 : PM,2019-02-04,null
driller,100.0,05:17:50 : PM,2019-02-04,null
driller,100.0,05:17:56 : PM,2019-02-04,null
driller,100.0,05:18:02 : PM,2019-02-04,null
driller,100.0,05:18:07 : PM,2019-02-04,null
driller,100.0,05:18:13 : PM,2019-02-04,null
driller,100.0,05:18:18 : PM,2019-02-04,null
driller,100.0,05:18:24 : PM,2019-02-04,null
driller,100.0,05:18:29 : PM,2019-02-04,null
driller,100.0,05:18:35 : PM,2019-02-04,null
driller,100.0,05:18:40 : PM,2019-02-04,null
driller,100.0,05:18:46 : PM,2019-02-04,null
driller,100.0,05:18:51 : PM,2019-02-04,null
driller,100.0,05:18:57 : PM,2019-02-04,null
driller,100.0,05:19:02 : PM,2019-02-04,null
driller,100.0,05:19:08 : PM,2019-02-04,null
driller,100.0,05:19:13 : PM,2019-02-04,null
driller,100.0,05:19:19 : PM,2019-02-04,null
driller,100.0,05:19:24 : PM,2019-02-04,null
driller,100.0,05:19:30 : PM,2019-02-04,null
driller,100.0,05:19:35 : PM,2019-02-04,null
driller,100.0,05:19:41 : PM,2019-02-04,null
driller,100.0,05:19:46 : PM,2019-02-04,null
driller,100.0,05:19:52 : PM,2019-02-04,null
driller,100.0,05:19:57 : PM,2019-02-04,null
driller,100.0,05:20:03 : PM,2019-02-04,null
driller,100.0,05:20:08 : PM,2019-02-04,null
driller,100.0,05:20:14 : PM,2019-02-04,null
driller,100.0,05:20:19 : PM,2019-02-04,null
driller,100.0,05:20:25 : PM,2019-02-04,null
driller,100.0,05:20:30 : PM,2019-02-04,null
driller,100.0,05:20:36 : PM,2019-02-04,null
driller,100.0,05:20:41 : PM,2019-02-04,null
driller,100.0,05:20:47 : PM,2019-02-04,null
driller,100.0,05:20:52 : PM,2019-02-04,null
driller,100.0,05:20:58 : PM,2019-02-04,null
driller,100.0,05:21:03 : PM,2019-02-04,null
driller,100.0,05:21:09 : PM,2019-02-04,null
driller,100.0,05:21:15 : PM,2019-02-04,null
driller,100.0,05:21:20 : PM,2019-02-04,null
driller,100.0,05:21:26 : PM,2019-02-04,null
driller,100.0,05:21:31 : PM,2019-02-04,null
driller,100.0,05:21:36 : PM,2019-02-04,null
driller,100.0,05:21:42 : PM,2019-02-04,null
driller,100.0,05:21:48 : PM,2019-02-04,null
driller,100.0,05:21:53 : PM,2019-02-04,null
driller,100.0,05:21:59 : PM,2019-02-04,null
driller,100.0,05:22:04 : PM,2019-02-04,null
